metric_name,entity_name,currency,date,item_segment,category_name,value,quarter_start,quarter_end
Gross Merchandise Volume - Total,eBay,USD,2021-12-22,International,Sports,5095947.077574,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-11-13,International,Computers,7520995.946449,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-08-21,International,Cell Phones & Telecom,4390085.396018,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-04-13,United States,"Business, Office & Industrial",8841329.046190,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-04-11,International,Collectibles & Art,10153233.076655,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-02-21,International,Sports,10423048.376780,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-01-04,United States,Computers,7001435.527546,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-11-26,United States,Parts & Accessories,16897502.298451,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-19,United States,Remaining Categories,417800.558289,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-09-13,United States,Musical Instruments,2157774.483082,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-08-26,International,Tickets & Travel,104724.567613,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-08-11,United States,Cell Phones & Telecom,5343908.399122,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-06-15,United States,Clothing & Accessories,12118066.339430,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-06-13,International,Home & Garden,33181663.814540,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-06-01,International,Tickets & Travel,132910.592670,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-03-17,United States,Consumer Electronics,3180212.013002,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-02-06,International,Health & Beauty,5123546.889216,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-01-25,United States,Cell Phones & Telecom,3349296.811235,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2022-01-01,United States,Parts & Accessories,19015643.980473,2022-01-01,2022-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-12-13,International,Cell Phones & Telecom,6982547.353039,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-11-26,International,Clothing & Accessories,19760378.322710,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-11-16,United States,Parts & Accessories,22233635.388207,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-10-20,United States,Video Games,2089113.899740,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-10-12,United States,Photo,1975706.331411,2021-10-01,2021-12-31
